"","TWII.Open","TWII.High","TWII.Low","TWII.Close","TWII.Volume","TWII.Adjusted"
"1",7871.410156,7937.259766,7843.600098,7920.799805,5710600,7920.777143
"2",7954.959961,7999.419922,7917.299805,7917.299805,5951400,7917.277153
"3",7929.890137,7955.899902,7901.240234,7934.509766,5717400,7934.487065
"4",7940.200195,7942.22998,7821.709961,7835.569824,5181400,7835.547406
"5",7778.569824,7797.569824,7736.109863,7736.709961,4292400,7736.687826
"6",7778.379883,7827.930176,7778.379883,7790.009766,4516000,7789.987478
"7",7737.25,7748.790039,7682.819824,7698.52002,5153200,7698.497994
"8",7724.100098,7748.959961,7599.549805,7618.549805,5735400,7618.528008
"9",7713.629883,7769.310059,7704.390137,7761.709961,4478600,7761.687755
"10",7809.910156,7814.850098,7741.490234,7783.5,3817600,7783.477731
"11",7792.77002,7831.200195,7780.649902,7792.080078,3743600,7792.057785
"12",7757.799805,7841.259766,7747.580078,7833.97998,4016600,7833.957567
"13",7852.259766,7896.950195,7830.22998,7895.180176,4237200,7895.157587
"14",7859.470215,7892.609863,7840.080078,7840.080078,4385000,7840.057647
"15",7866.169922,7871.009766,7784.209961,7842.470215,4297000,7842.447777
"16",7837.439941,7869.549805,7818.580078,7852.359863,3795400,7852.337397
"17",7943.240234,7949.47998,7916.390137,7935.540039,4488800,7935.517335
"18",7982.640137,7990.549805,7917.649902,7923.77002,4337000,7923.747349
"19",7825.75,7883.5,7793.910156,7821.319824,3465200,7821.297447
"20",7831.569824,7838.919922,7746.370117,7751.790039,3143600,7751.767861
"21",7763.529785,7778.240234,7725.410156,7739.910156,3010000,7739.888012
"22",7759.790039,7778.689941,7637.540039,7699.640137,3180000,7699.618108
"23",7751.299805,7757.629883,7679.779785,7701.540039,2706600,7701.518005
"24",7754.160156,7801.629883,7751.529785,7777.029785,3134800,7777.007535
"25",7786.77002,7823.939941,7772.049805,7783.120117,2786200,7783.09785
"26",7816.299805,7875.75,7802.939941,7875.75,3497800,7875.727467
"27",7894.77002,7894.77002,7850.060059,7850.060059,3214400,7850.037599
"28",7875.52002,7884.72998,7790.629883,7842.220215,2895200,7842.197778
"29",7847.180176,7884.549805,7822.529785,7859.529785,3363400,7859.507299
"30",7826.459961,7826.459961,7764.509766,7776.359863,2787000,7776.337615
"31",7782.069824,7800.870117,7725.810059,7736.830078,2776200,7736.807943
"32",7800.97998,7812.180176,7764.310059,7809.450195,3006200,7809.427852
"33",7939.399902,7950.200195,7899.549805,7900.200195,4170000,7900.177593
"34",7908.790039,7939.5,7881.919922,7901.959961,3971200,7901.937353
"35",7707.629883,7761.399902,7663.169922,7678.669922,4230600,7678.647953
"36",7653.350098,7695.149902,7625.990234,7670.77002,3742200,7670.748073
"37",7565.950195,7565.950195,7306.069824,7344.560059,4410800,7344.539046
"38",7379.080078,7452.839844,7349.97998,7451.060059,3320600,7451.038741
"39",7516.209961,7519.459961,7449.669922,7480.890137,3883200,7480.868734
"40",7517.77002,7573.870117,7510.439941,7573.870117,3586200,7573.848448
"41",7615.810059,7619.350098,7550.830078,7568.200195,3310400,7568.178543
"42",7611.149902,7640.140137,7590.819824,7629.149902,3009600,7629.128075
"43",7664.700195,7694.589844,7661.759766,7684,3403200,7683.978016
"44",7552.72998,7575.52002,7526.47998,7570.27002,3609400,7570.248361
"45",7631.669922,7708.97998,7631.669922,7695.959961,4206400,7695.937943
"46",7707.149902,7743.370117,7676.390137,7719.799805,4291000,7719.777718
"47",7739.560059,7759.660156,7713.779785,7737.459961,3562800,7737.437824
"48",7784.27002,7798.27002,7736.200195,7736.200195,3932400,7736.178062
"49",7780.299805,7784.189941,7746.350098,7757.029785,3279800,7757.007592
"50",7843.640137,7856.990234,7822.629883,7823.669922,3989400,7823.647538
"51",7834.620117,7879.089844,7806.890137,7859.319824,3837000,7859.297339
"52",7878.589844,7887.330078,7853.149902,7877.819824,3623800,7877.797286
"53",7876.759766,7928.029785,7839.220215,7845.169922,4038400,7845.147477
"54",7832.620117,7841.399902,7769.299805,7788.140137,3720800,7788.117855
"55",7765.069824,7863.629883,7764.049805,7848.330078,4128600,7848.307624
"56",7877.75,7888.819824,7839.910156,7884.410156,4225600,7884.387599
"57",7888.169922,7931.990234,7866.589844,7884.990234,4390000,7884.967675
"58",7894.870117,7932.910156,7879.879883,7932.910156,4498600,7932.88746
"59",7989.649902,8021.589844,7970.459961,8004.609863,4993200,8004.586962
"60",8048.339844,8066.77002,8026.330078,8056.560059,4772200,8056.537009
"61",8064.540039,8064.540039,8002.490234,8048.390137,4616600,8048.36711
"62",8073.669922,8105.819824,8055.669922,8084.450195,4297800,8084.427066
"63",8043.779785,8090.939941,8039.129883,8075.200195,4192200,8075.177092
"64",8100.080078,8108.5,7999.689941,8002.299805,4552400,8002.27691
"65",8088.830078,8096.839844,8030.5,8043.540039,4500200,8043.517026
"66",8100.609863,8100.609863,7952.180176,7959.290039,5567400,7959.267267
"67",7981.359863,8003.310059,7946.350098,8003.310059,3931400,8003.287161
"68",7978.589844,7991.689941,7883.919922,7888.629883,4428800,7888.607313
"69",7915.910156,7945.700195,7912.490234,7942.669922,3683600,7942.647198
"70",8009.549805,8062.700195,8006.419922,8010.459961,4000600,8010.437043
"71",8011.810059,8051.669922,7998.220215,8045.009766,4030600,8044.986749
"72",8035.740234,8041.27002,7984.649902,7984.649902,3929400,7984.627058
"73",8046.720215,8052.549805,8000.040039,8000.040039,3566400,8000.017151
"74",8019.490234,8026.509766,7949.419922,7949.419922,3479200,7949.397178
"75",7956.029785,7956.029785,7843.049805,7875.419922,3466400,7875.39739
"76",7900.759766,7951.689941,7890.540039,7903.040039,3193200,7903.017428
"77",7954.160156,7965.930176,7861.430176,7926.660156,4287600,7926.637478
"78",7990.970215,8066.060059,7990.970215,8066.060059,3767600,8066.036981
"79",8122.200195,8132.799805,8095.040039,8115.27002,3750000,8115.246802
"80",8111.509766,8113.310059,8083.180176,8095.839844,2965800,8095.816681
"81",8092.100098,8093.509766,8043.459961,8052.700195,2886200,8052.677156
"82",8094.720215,8105.089844,8071.5,8096.859863,3357000,8096.836698
"83",8026.359863,8049.5,8018.640137,8031.540039,2934200,8031.517061
"84",8072.149902,8072.149902,8013.830078,8030.560059,2857600,8030.537083
"85",8022.580078,8041.549805,7968.919922,7975.029785,2612000,7975.006968
"86",7988.970215,8014.879883,7978.25,7988.569824,2492000,7988.546969
"87",8029.600098,8080.629883,8029.600098,8037.959961,3142400,8037.936964
"88",8066.009766,8075.209961,8013.890137,8034.140137,2836000,8034.117151
"89",8067.22998,8159.259766,8043.899902,8141.589844,3614200,8141.56655
"90",8158.990234,8205.889648,8158.290039,8188.629883,4077400,8188.606455
"91",8232.530273,8256.25,8214.580078,8221.790039,3983000,8221.766516
"92",8231.650391,8249.480469,8207.959961,8216.410156,3395800,8216.386649
"93",8170.580078,8170.580078,8130.169922,8159.970215,3235600,8159.946869
"94",8194.830078,8201.650391,8154.220215,8156.819824,2887600,8156.796487
"95",8178.700195,8229.44043,8166.459961,8181.490234,3047000,8181.466827
"96",8163.810059,8177.759766,8110.279785,8147.339844,3248600,8147.316534
"97",8204.719727,8220.80957,8144.950195,8144.950195,4230600,8144.926892
"98",8236.759766,8261.669922,8224.280273,8249.900391,4198400,8249.876787
"99",8310.089844,8317.599609,8282.790039,8294.790039,4053200,8294.766307
"100",8321.419922,8321.419922,8267.589844,8303.990234,4299400,8303.966476
"101",8330.719727,8376.969727,8313.589844,8314.679688,4775800,8314.655899
"102",8298.969727,8368.55957,8263.610352,8355.259766,3844000,8355.235861
"103",8288.259766,8308.450195,8279.959961,8300.709961,4241600,8300.686212
"104",8351.030273,8359.75,8328.610352,8338.879883,4133600,8338.856025
"105",8371.700195,8396.219727,8345.009766,8370.259766,4774400,8370.235818
"106",8388.490234,8388.490234,8336.530273,8346.389648,4398600,8346.365769
"107",8421.209961,8476.129883,8409,8450.719727,4853400,8450.695549
"108",8519.379883,8578.330078,8511.070312,8573.639648,5280000,8573.615119
"109",8651.259766,8761.879883,8636.469727,8755.879883,6320400,8755.854832
"110",8789.089844,8871.719727,8722.150391,8851.990234,5581200,8851.964909
"111",8879.990234,8884.030273,8799.290039,8846.389648,5979200,8846.364339
"112",8882.299805,8985.929688,8882.299805,8939.19043,6503800,8939.164854
"113",8965.820312,8983.959961,8856.290039,8865.75,5709600,8865.724635
"114",8862.290039,8887.879883,8820.679688,8844.219727,5225800,8844.194423
"115",8914.69043,8914.69043,8841.959961,8892.830078,5698600,8892.804636
"116",8932.179688,8932.950195,8849.040039,8883.209961,5464800,8883.184546
"117",8903.769531,8939.490234,8849.349609,8939.490234,5468400,8939.464658
"118",8983.240234,9019.929688,8977.089844,8996.200195,6580400,8996.174457
"119",9069.320312,9112.740234,9034.5,9068.980469,7220200,9068.954522
"120",9114.05957,9148.780273,9086.19043,9148.780273,7038200,9148.754099
"121",9169.55957,9199.660156,9118.259766,9188.30957,7483000,9188.283282
"122",9246.44043,9369.839844,9239.200195,9369.839844,8013400,9369.813036
"123",9404.759766,9404.759766,9306.620117,9384.730469,7632600,9384.703619
